INFO | 2024-08-19 22:03:15,123 | views | 45 | 125968570280760 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:03:17,750 | views | 45 | 125968570280760 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:03:19,790 | views | 45 | 125968569219896 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:03:40,364 | views | 45 | 125968569219896 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:03:42,908 | views | 45 | 125968568159032 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:10:13,993 | views | 61 | 124083495594808 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:33:44,617 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:34:26,997 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:34:36,120 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:34:39,660 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:35:12,123 | views | 61 | 124083495594808 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:36:29,784 | views | 61 | 124083495594808 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:36:33,069 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:37:16,181 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:37:21,604 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:39:18,397 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:39:55,012 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:40:48,005 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:41:17,887 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:41:40,776 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:43:16,782 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:43:18,846 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:43:42,293 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:45:56,809 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:48:39,421 | views | 61 | 124083496655672 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:48:44,115 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:49:28,209 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:50:29,546 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:50:52,230 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:51:08,834 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:51:13,709 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:51:21,667 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:52:01,985 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:52:17,076 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:52:23,508 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 22:52:45,124 | views | 61 | 124083493411640 : PASSEI POR AQUI EM.
INFO | 2024-08-19 23:46:55,207 | views | 61 | 124083497716536 : PASSEI POR AQUI EM.
INFO | 2024-08-19 23:46:57,764 | views | 61 | 124083495594808 : PASSEI POR AQUI EM.
